CEACC,CCDEF,FAXAE,FBFFD,EDDAB
0.0,0.0,3.0,3.0,8.0
1.2322597725459918,-0.21730516874615508,3.1937800338427396,3.4899917784092374,7.792552820782307
2.5401291886866435,0.6067088418661369,3.1809499995584343,3.4648111531051278,7.817440082807276
5.520271226709606,1.4708119808560387,3.330528229038897,2.9683752211846337,7.409152042345656
5.914298246078985,2.7450596690605154,3.0617057924718742,3.4409802847710784,7.153048745069801
4.698121770988513,2.761212246750287,3.125835169644006,3.41315830608383,7.094790074210828
5.321533435547341,2.357034441407779,2.716191412987147,3.341070304269163,7.066582097536651
6.218376948768283,2.4927617370447175,3.070003601990559,3.042241156945749,6.822656154059737
6.874758354460173,3.252415814499861,2.5803897865351533,2.5429017933732294,6.809181698932881
6.699335121303501,3.6618498166016358,2.945135976672068,2.4185979813020952,7.028446932977719
6.2318237777287715,3.1877799600762935,3.2806623130188646,2.7372217217339774,7.316303935362816
4.95861703178328,2.9364005691366293,2.798264837894952,2.550400031921749,7.395732447325082
4.91032562309275,2.6302125923152055,2.6514162046827847,2.960595996290591,7.094923555955541
5.810582313424873,2.5518231250376484,2.9207929751466755,3.397113418270103,7.249926847580088
6.403126781712107,3.0245434375521483,3.308202698490015,2.9432445047238196,7.378193411048041
6.7113061198742106,3.108749459171451,3.1340034567794968,3.030297646952503,7.091320676325288
8.070887641390602,3.3056623338297935,2.819255815970751,3.1933768418607342,7.11107376292475
8.653984026407834,4.112314939943709,2.942161583182978,3.2123966428741206,7.174519721941
8.377964991981585,4.1953093444277325,2.443072611116582,2.930554306649471,7.487430465238022
9.104606058892823,3.996524137366919,2.0603459339404937,2.8872917187966927,7.494472639373674
8.492065509978541,4.767450258181048,1.8737508364154332,2.8031396944117812,7.663347133084453
7.892203583835904,4.2890470422336495,2.35987841056399,2.674561667100332,7.629252248493343
7.387304675468547,4.014063010633098,2.3377976715081825,2.7467537294369206,7.981690441668494
5.601323860974635,3.524119756728412,2.4626480646742586,2.7472872150890915,8.387382796162944
5.3409689755017,2.77593903451265,2.054612151241428,2.8706235919087786,8.819967738625994
3.294879661597213,2.5678152014321194,2.0624385122677413,2.4855942420187636,8.428261714370194
3.3005101450347527,1.5950503013315043,1.7428514490936013,2.56394473166561,8.342721625869427
4.175565460182808,1.5436064368154792,1.2875470898536185,2.9556352111758954,8.601347854505013
5.772935411569336,1.9222470780685033,0.9429271398530273,2.7562865493375783,8.502150927976876
6.045534619575009,2.805373559453672,0.9996926446227677,3.15906234927709,8.427401767369362
5.097957681101676,2.9914002979200607,0.553079678744074,3.3004200572946747,8.208698057251043
5.9247500272501945,2.3343198964712792,0.8034901365273643,3.2589693957868033,7.751109006868807
5.535786374316926,3.091874287326353,1.0128909131605353,3.6845777820700274,7.6801167069781044
4.880831022512124,2.723744720819202,1.1534048846355636,3.2386541893126166,7.536761798828858
5.298965971167029,2.2431437183587617,1.0237411448471123,2.9664739003485923,7.502618923190794
4.670242476710989,2.519566591537682,1.3689957642006347,2.4946404424949065,7.612869531988041
4.6970367490921205,2.322077004971431,1.3694366902550552,2.5410127768677295,7.555886328217448
5.105965902186236,2.2653809118961794,1.256069420169927,2.6300504194378247,7.23244848565333
